Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0022241
Sensor,S401C
Sensor SN,1911562
Sensor Type,Thermopile
Wavelength,1030 nm
Range,Auto

Start of Measurement,5/27/2026 17:40:57
Elapsed Time,00:00:19:980
Samples,3454

--Statistics--
Minimum [W],0.0008454
Maximum [W],0.00086819
Mean [W],0.00085666
Standard Deviation [W],3.458E-06
Ratio,1.027 : 1

--Graph Data--
Time (ms),Power (W)
4969.867,0.0008579
4972.969,0.00085839
4975.873,0.0008579
4978.793,0.0008579
5008.337,0.00085569
5012.001,0.00085594
5015.207,0.00085692
5018.208,0.00085741
5021.269,0.00085667
5024.835,0.00085692
5027.771,0.00085765
5031.087,0.00085814
5060.616,0.00085643
5064.000,0.0008579
5066.841,0.0008552
5069.899,0.00085912
5073.097,0.00085692
5076.137,0.00085618
5079.164,0.00085496
5085.664,0.00085667
5088.890,0.00085618
5092.009,0.00085643
5094.868,0.00085594
5097.868,0.0008552
5101.124,0.00085716
5104.155,0.00085765
5107.165,0.00085618
5110.161,0.00085594
5113.269,0.00085643
5116.653,0.00085569
5119.547,0.00085643
5122.607,0.00085569
5125.478,0.00085569
5128.540,0.00085618
5158.326,0.00085814
5161.937,0.00085814
5166.646,0.00085618
5169.530,0.00085643
5172.641,0.00085569
5175.525,0.0008579
5178.554,0.00085839
5208.316,0.00085594
5212.122,0.00085643
5215.091,0.00085716
5218.078,0.00085618
5221.076,0.00085667
5224.077,0.00085594
5227.118,0.00085888
5230.094,0.00085814
5259.567,0.0008579
5262.939,0.00085741
5266.446,0.00085863
5269.496,0.00085716
5272.564,0.00085839
5275.494,0.00085888
5278.444,0.00085937
5310.329,0.00085814
5313.693,0.00085888
5316.497,0.00085863
5319.500,0.00085912
5323.232,0.00085986
5326.134,0.00085814
5329.161,0.00085814
5358.654,0.00085863
5362.288,0.00085863
5365.367,0.00085986
5368.524,0.00085986
5371.606,0.00085888
5374.535,0.00085888
5377.443,0.00086035
5380.536,0.00085937
5385.557,0.0008601
5388.641,0.00086035
5391.742,0.00085863
5394.867,0.00085937
5397.872,0.0008601
5401.110,0.00086035
5404.128,0.00086035
5407.076,0.00085912
5410.124,0.0008601
5413.225,0.00085765
5416.205,0.00085839
5419.204,0.00086133
5422.237,0.00086035
5425.241,0.00085888
5428.176,0.00085839
5457.913,0.00086059
5461.659,0.00085961
5465.329,0.00086231
5468.254,0.00086084
5471.360,0.00086157
5474.186,0.00086084
5477.119,0.00086108
5480.184,0.00086133
5512.323,0.00085961
5516.466,0.0008628
5519.810,0.00086157
5522.869,0.00086182
5525.878,0.0008628
5528.815,0.00086108
5558.314,0.00086035
5562.055,0.00086206
5565.121,0.00086206
5568.166,0.00086084
5571.265,0.00086108
5574.159,0.00086206
5577.155,0.00086059
5580.204,0.00086084
5609.708,0.00086206
5613.299,0.00086059
5616.205,0.00085839
5619.196,0.00086035
5622.962,0.00086231
5625.810,0.00086304
5628.805,0.00086157
5658.269,0.0008628
5661.805,0.00086084
5665.052,0.00086157
5668.233,0.00086329
5671.438,0.00086108
5674.642,0.0008628
5677.614,0.00086157
5680.832,0.00086108
5687.460,0.00085961
5690.866,0.00086157
5693.868,0.00086084
5697.004,0.0008628
5699.869,0.00086059
